Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [€/MWh]
18.03.2022 00:00;203,03
18.03.2022 01:00;206,97
18.03.2022 02:00;201,38
18.03.2022 03:00;206,5
18.03.2022 04:00;209,9
18.03.2022 05:00;217,06
18.03.2022 06:00;262,97
18.03.2022 07:00;291,51
18.03.2022 08:00;287,81
18.03.2022 09:00;249,9
18.03.2022 10:00;228,58
18.03.2022 11:00;204,87
18.03.2022 12:00;205,01
18.03.2022 13:00;201,14
18.03.2022 14:00;200,31
18.03.2022 15:00;202,48
18.03.2022 16:00;212,4
18.03.2022 17:00;245,54
18.03.2022 18:00;275,31
18.03.2022 19:00;286,52
18.03.2022 20:00;251,15
18.03.2022 21:00;216,95
18.03.2022 22:00;228,5
18.03.2022 23:00;197,81
